Ticker,Sector,Industry,Country,Market Cap,ATR,Prev Close P,Prev Close F,Price,Open,High,Low,Rel Vol,Ppro Time,Finviz Time
ACNB,Financial,Banks - Regional,USA,241.81M,1,27.17,,,,,,,,
ACOR,Healthcare,Biotechnology,USA,68.48M,0.7,7.6,,,,,,,,
ACRS,Healthcare,Biotechnology,USA,811.15M,1.96,18.22,,,,,,,,
ACRX,Healthcare,Drug Manufacturers - Specialty & Generic,USA,168.79M,0.23,1.91,,,,,,,,
ACST,Healthcare,Biotechnology,Canada,77.51M,0.11,0.8,,,,,,,,
ACTC,Financial,Shell Companies,USA,711.79M,2.14,25.65,,,,,,,,
ACTCU,Financial,Shell Companies,USA,-,2.4,29.96,,,,,,,,
ACTG,Industrials,Specialty Business Services,USA,278.96M,0.41,5.74,,,,,,,,
ACWI,Financial,Exchange Traded Fund,USA,-,0.91,93.77,,,,,,,,
ACWX,Financial,Exchange Traded Fund,USA,-,0.59,55.39,,,,,,,,
ADAP,Healthcare,Biotechnology,United Kingdom,924.39M,0.44,5.6,,,,,,,,
ADBE,Technology,Software - Infrastructure,USA,229.20B,10.37,472.44,,,,,,,,
ADERU,Financial,Shell Companies,USA,-,0.26,10.7,,,,,,,,
ADES,Industrials,Pollution & Treatment Controls,USA,100.18M,0.24,5.38,,,,,,,,
ADI,Technology,Semiconductors,USA,58.11B,3.35,155.58,,,,,,,,
ADIL,Healthcare,Biotechnology,USA,34.23M,0.14,2.22,,,,,,,,
ADMA,Healthcare,Biotechnology,USA,235.32M,0.13,2.43,,,,,,,,
ADMP,Healthcare,Drug Manufacturers - Specialty & Generic,USA,174.17M,0.2,1.79,,,,,,,,
ADMS,Healthcare,Drug Manufacturers - Specialty & Generic,USA,136.74M,0.3,4.72,,,,,,,,
ADOC,Financial,Shell Companies,USA,98.36M,0.07,10.29,,,,,,,,
ADP,Industrials,Staffing & Employment Services,USA,69.80B,3.18,161.98,,,,,,,,
ADPT,Healthcare,Biotechnology,USA,9.34B,3.09,67.74,,,,,,,,
ADRE,Financial,Exchange Traded Fund,USA,-,1.16,61.78,,,,,,,,
ADSK,Technology,Software - Application,USA,66.34B,7.42,299.17,,,,,,,,
ADTN,Technology,Communication Equipment,USA,841.18M,0.61,17.51,,,,,,,,
ADTX,Healthcare,Biotechnology,USA,46.01M,0.49,3.6,,,,,,,,
ADUS,Healthcare,Medical Care Facilities,USA,2.04B,3.45,127.8,,,,,,,,
ADV,Communication Services,Advertising Agencies,USA,3.57B,0.68,11.22,,,,,,,,
ADVM,Healthcare,Biotechnology,USA,1.37B,0.97,13.39,,,,,,,,
ADXN,Healthcare,Biotechnology,Switzerland,68.31M,2.36,12.12,,,,,,,,
ADXS,Healthcare,Biotechnology,USA,72.59M,0.08,0.75,,,,,,,,
AEGN,Industrials,Engineering & Construction,USA,650.26M,0.83,20.63,,,,,,,,
AEHR,Technology,Semiconductor Equipment & Materials,USA,56.18M,0.16,2.4,,,,,,,,
AEIS,Industrials,Electrical Equipment & Parts,USA,4.64B,4.47,118.83,,,,,,,,
AEMD,Healthcare,Medical Devices,USA,32.95M,0.22,2.64,,,,,,,,
AEP,Utilities,Utilities - Regulated Electric,USA,39.91B,1.76,82.08,,,,,,,,
AERI,Healthcare,Drug Manufacturers - Specialty & Generic,USA,795.95M,0.81,16.81,,,,,,,,
AESE,Communication Services,Entertainment,USA,64.14M,0.19,1.75,,,,,,,,
AEY,Technology,Electronics & Computer Distribution,USA,37.06M,0.23,3.04,,,,,,,,
AEYE,Technology,Software - Application,USA,261.45M,2.09,24.9,,,,,,,,
AEZS,Healthcare,Biotechnology,USA,46.11M,0.07,0.71,,,,,,,,
AFIB,Healthcare,Medical Devices,USA,833.51M,2.17,25.95,,,,,,,,
AFIN,Real Estate,REIT - Diversified,USA,833.61M,0.31,7.82,,,,,,,,
AFINO,Real Estate,REIT - Diversified,USA,-,0.15,25,,,,,,,,
AFMD,Healthcare,Biotechnology,Germany,588.43M,0.47,6.52,,,,,,,,
AFRM,Technology,Information Technology Services,USA,28.60B,15.97,119.95,,,,,,,,
AFYA,Consumer Defensive,Education & Training Services,Brazil,2.17B,1.01,23.47,,,,,,,,
AGCUU,Financial,Shell Companies,USA,-,1.06,18,,,,,,,,
AGEN,Healthcare,Biotechnology,USA,667.77M,0.19,3.44,,,,,,,,
AGFS,Consumer Defensive,Farm Products,USA,103.88M,0.14,2.03,,,,,,,,
AGIO,Healthcare,Biotechnology,USA,3.31B,2.27,47.47,,,,,,,,
AGLE,Healthcare,Biotechnology,USA,376.31M,0.46,7.63,,,,,,,,
AGMH,Technology,Software - Application,Hong Kong,349.24M,0.51,15.86,,,,,,,,
AGNC,Real Estate,REIT - Mortgage,USA,8.78B,0.21,16.14,,,,,,,,
AGRX,Healthcare,Drug Manufacturers - Specialty & Generic,USA,259.78M,0.1,2.94,,,,,,,,
AGTC,Healthcare,Biotechnology,USA,124.33M,0.25,4.74,,,,,,,,
AGYS,Technology,Software - Application,USA,1.06B,1.81,44.88,,,,,,,,
AGZD,Financial,Exchange Traded Fund,USA,-,0.17,47.24,,,,,,,,
AHACU,Financial,Shell Companies,USA,-,0.16,10.8,,,,,,,,
AHCO,Healthcare,Medical Devices,USA,3.65B,1.82,38,,,,,,,,
AHPI,Healthcare,Medical Devices,USA,23.81M,0.69,6.65,,,,,,,,
AIA,Financial,Exchange Traded Fund,USA,-,1.39,98.57,,,,,,,,
AIH,Healthcare,Medical Care Facilities,China,126.09M,0.37,5.08,,,,,,,,
AIHS,Financial,Credit Services,China,68.51M,0.15,1.49,,,,,,,,
AIKI,Healthcare,Biotechnology,USA,46.87M,0.15,1.24,,,,,,,,
AIMC,Industrials,Specialty Industrial Machinery,USA,3.86B,2.49,56.43,,,,,,,,
AINV,Financial,Asset Management,USA,795.35M,0.35,12.31,,,,,,,,
AIQ,Financial,Exchange Traded Fund,USA,-,0.37,28.67,,,,,,,,
AIRG,Technology,Communication Equipment,USA,239.12M,1.82,22.73,,,,,,,,
AIRR,Financial,Exchange Traded Fund,USA,-,0.75,37.49,,,,,,,,
AIRT,Industrials,Integrated Freight & Logistics,USA,63.65M,2.88,22.57,,,,,,,,
AKAM,Technology,Software - Infrastructure,USA,17.15B,2.27,109.06,,,,,,,,
AKBA,Healthcare,Biotechnology,USA,504.77M,0.17,3.36,,,,,,,,
AKER,Healthcare,Medical Instruments & Supplies,USA,25.59M,0.16,2.85,,,,,,,,
AKRO,Healthcare,Biotechnology,USA,1.06B,1.56,31.06,,,,,,,,
AKTS,Technology,Communication Equipment,USA,607.73M,0.94,15.37,,,,,,,,
AKTX,Healthcare,Biotechnology,United Kingdom,90.05M,0.29,2.94,,,,,,,,
AKUS,Healthcare,Biotechnology,USA,579.52M,1.14,16.95,,,,,,,,
ALAC,Financial,Shell Companies,Hong Kong,234.43M,1.08,14.4,,,,,,,,
ALBO,Healthcare,Biotechnology,USA,700.15M,1.53,35.06,,,,,,,,
ALCO,Consumer Defensive,Farm Products,USA,234.83M,0.81,30.94,,,,,,,,
ALDX,Healthcare,Biotechnology,USA,434.82M,1.05,12.29,,,,,,,,
ALEC,Healthcare,Biotechnology,USA,1.21B,1.02,16.59,,,,,,,,
ALGM,Technology,Semiconductors,USA,6.47B,1.97,33.5,,,,,,,,
ALGN,Healthcare,Medical Devices,USA,41.18B,17.46,534.08,,,,,,,,
ALGS,Healthcare,Biotechnology,USA,1.35B,3.47,32.85,,,,,,,,
ALGT,Industrials,Airlines,USA,3.31B,6.96,191.42,,,,,,,,
ALIM,Healthcare,Drug Manufacturers - Specialty & Generic,USA,40.72M,0.63,8,,,,,,,,
ALJJ,Industrials,Specialty Business Services,USA,60.35M,0.09,1.28,,,,,,,,
ALKS,Healthcare,Biotechnology,Ireland,3.47B,0.89,22.19,,,,,,,,
ALLK,Healthcare,Biotechnology,USA,6.95B,7.15,132.33,,,,,,,,
ALLO,Healthcare,Biotechnology,USA,4.14B,1.57,30.76,,,,,,,,
ALLT,Technology,Communication Equipment,Israel,513.05M,0.88,14.57,,,,,,,,
ALNA,Healthcare,Biotechnology,USA,85.36M,0.1,1.68,,,,,,,,
ALNY,Healthcare,Biotechnology,USA,19.87B,6.65,172.38,,,,,,,,
ALOT,Technology,Computer Hardware,USA,79.92M,0.39,10.53,,,,,,,,
ALPN,Healthcare,Biotechnology,USA,329.57M,1.03,13.12,,,,,,,,
ALRM,Technology,Software - Application,USA,4.87B,3.85,97,,,,,,,,
ALRN,Healthcare,Biotechnology,USA,175.41M,0.18,1.98,,,,,,,,
ALRS,Financial,Banks - Regional,USA,501.25M,0.98,28.48,,,,,,,,
ALSK,Communication Services,Telecom Services,USA,176.01M,0.07,3.29,,,,,,,,
ALT,Healthcare,Biotechnology,USA,498.09M,1.15,14.35,,,,,,,,
ALTA,Financial,Banks - Regional,USA,624.69M,1.25,33,,,,,,,,
ALTM,Energy,Oil & Gas Midstream,USA,746.97M,2.88,47.76,,,,,,,,
ALTR,Technology,Software - Infrastructure,USA,4.54B,1.91,59.75,,,,,,,,
ALTUU,Financial,Shell Companies,USA,-,0.14,10.64,,,,,,,,
ALTY,Financial,Exchange Traded Fund,USA,-,0.1,12.01,,,,,,,,
ALVR,Healthcare,Biotechnology,USA,2.80B,4.38,42.69,,,,,,,,
ALXN,Healthcare,Biotechnology,USA,34.92B,2.92,159.73,,,,,,,,
ALXO,Healthcare,Biotechnology,USA,3.21B,6.78,81.47,,,,,,,,
ALYA,Technology,Information Technology Services,Canada,120.93M,0.12,2.37,,,,,,,,
AMAL,Financial,Banks - Regional,USA,463.68M,0.65,15.03,,,,,,,,
AMAT,Technology,Semiconductor Equipment & Materials,USA,99.61B,3.57,106.33,,,,,,,,
AMBA,Technology,Semiconductor Equipment & Materials,USA,4.12B,5.43,112.9,,,,,,,,
AMCI,Financial,Shell Companies,USA,356.84M,1.38,16.49,,,,,,,,
AMCX,Communication Services,Broadcasting,USA,2.08B,2.22,49.38,,,,,,,,
AMD,Technology,Semiconductors,USA,114.86B,3.27,92.79,,,,,,,,
AMED,Healthcare,Medical Care Facilities,USA,10.08B,9.41,313.54,,,,,,,,
AMEH,Healthcare,Medical Care Facilities,USA,1.22B,0.74,22.36,,,,,,,,
AMGN,Healthcare,Drug Manufacturers - General,USA,145.28B,4.86,253.5,,,,,,,,
AMKR,Technology,Semiconductors,USA,4.65B,0.65,18.47,,,,,,,,
AMNB,Financial,Banks - Regional,USA,317.29M,0.91,27.98,,,,,,,,
AMOT,Technology,Electronic Components,USA,493.15M,1.84,50.27,,,,,,,,
AMPH,Healthcare,Drug Manufacturers - Specialty & Generic,USA,915.37M,0.62,18.7,,,,,,,,
AMRB,Financial,Banks - Regional,USA,79.22M,0.55,13.31,,,,,,,,
AMRK,Financial,Capital Markets,USA,205.42M,1.38,28.61,,,,,,,,
AMRN,Healthcare,Biotechnology,Ireland,2.57B,0.35,6.55,,,,,,,,
AMRS,Basic Materials,Specialty Chemicals,USA,2.30B,0.96,10.39,,,,,,,,
AMSC,Industrials,Specialty Industrial Machinery,USA,835.30M,2.02,29.35,,,,,,,,
AMSF,Financial,Insurance - Specialty,USA,1.11B,1.76,56.2,,,,,,,,
AMST,Technology,Software - Application,USA,90.00M,0.3,4.3,,,,,,,,
AMSWA,Technology,Software - Application,USA,654.98M,0.59,20.11,,,,,,,,
AMTB,Financial,Banks - Regional,USA,628.98M,1.01,15.3,,,,,,,,
AMTI,Healthcare,Biotechnology,USA,1.33B,2.25,38.96,,,,,,,,
AMTX,Energy,Oil & Gas Refining & Marketing,USA,92.84M,0.36,4.4,,,,,,,,
AMWD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1.69B,3.1,98.45,,,,,,,,
AMYT,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,498.28M,0.5,13.93,,,,,,,,
AMZN,Consumer Cyclical,Internet Retail,USA,1664.22B,68.38,3292.23,,,,,,,,
ANAB,Healthcare,Biotechnology,USA,685.49M,1.51,25.54,,,,,,,,
ANAT,Financial,Insurance - Diversified,USA,2.55B,2.36,95.07,,,,,,,,
ANCN,Healthcare,Biotechnology,USA,18.40M,0.38,2.48,,,,,,,,
ANDA,Financial,Shell Companies,Colombia,50.22M,0.25,11.31,,,,,,,,
ANDE,Consumer Defensive,Food Distribution,USA,858.00M,1.2,25.25,,,,,,,,
ANGI,Communication Services,Internet Content & Information,USA,6.35B,0.52,12.48,,,,,,,,
ANGL,Financial,Exchange Traded Fund,USA,-,0.15,32.13,,,,,,,,
ANGO,Healthcare,Medical Instruments & Supplies,USA,713.99M,0.96,18.2,,,,,,,,
ANIK,Healthcare,Biotechnology,USA,578.95M,2.2,38.96,,,,,,,,
ANIP,Healthcare,Drug Manufacturers - Specialty & Generic,USA,396.31M,1.22,32.09,,,,,,,,
ANIX,Healthcare,Diagnostics & Research,USA,108.03M,0.36,4.21,,,,,,,,
ANNX,Healthcare,Biotechnology,USA,909.76M,2.21,27.02,,,,,,,,
ANPC,Healthcare,Biotechnology,China,65.89M,0.51,5.92,,,,,,,,
ANSS,Technology,Software - Application,USA,32.59B,8.62,374.57,,,,,,,,
ANTE,Communication Services,Advertising Agencies,China,32.31M,0.33,2.42,,,,,,,,
ANY,Technology,Software - Application,Canada,15.88M,0.19,1.9,,,,,,,,
AOSL,Technology,Semiconductors,USA,820.57M,1.51,30.86,,,,,,,,
AOUT,Consumer Cyclical,Leisure,USA,281.13M,1.1,19.84,,,,,,,,
APA,Energy,Oil & Gas E&P,USA,6.57B,1.04,16.38,,,,,,,,
APDN,Industrials,Security & Protection Services,USA,63.28M,1.13,10.46,,,,,,,,
APEI,Consumer Defensive,Education & Training Services,USA,444.59M,1.23,29.58,,,,,,,,
APEN,Healthcare,Medical Devices,USA,110.25M,0.29,4.41,,,,,,,,
APHA,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,4.09B,0.84,12.92,,,,,,,,
API,Technology,Software - Application,China,4.84B,3.23,46.38,,,,,,,,
APLS,Healthcare,Biotechnology,USA,3.54B,2.89,45.68,,,,,,,,
APLT,Healthcare,Biotechnology,USA,441.56M,1.58,19.73,,,,,,,,
APM,Healthcare,Biotechnology,United Kingdom,105.37M,0.32,3.6,,,,,,,,
APOG,Industrials,Building Products & Equipment,USA,1.00B,1.36,37.88,,,,,,,,
APOP,Healthcare,Biotechnology,Israel,12.39M,0.21,3.17,,,,,,,,
APPF,Technology,Software - Application,USA,5.42B,6.47,157,,,,,,,,
APPN,Technology,Software - Infrastructure,USA,14.72B,12.21,204.85,,,,,,,,
APPS,Technology,Software - Application,USA,6.45B,4.44,67.93,,,,,,,,
APRE,Healthcare,Biotechnology,USA,122.42M,1.33,5.71,,,,,,,,
APTO,Healthcare,Biotechnology,Canada,389.00M,0.24,4.39,,,,,,,,
APTX,Healthcare,Biotechnology,USA,234.00M,0.27,4,,,,,,,,
APVO,Healthcare,Biotechnology,USA,144.60M,2.29,33.55,,,,,,,,
APWC,Industrials,Electrical Equipment & Parts,Taiwan,77.12M,0.84,5.58,,,,,,,,
APXT,Financial,Shell Companies,USA,711.53M,0.81,15.59,,,,,,,,
APYX,Healthcare,Medical Devices,USA,351.04M,0.59,10.97,,,,,,,,
AQB,Consumer Defensive,Farm Products,USA,684.97M,1.11,12.07,,,,,,,,
AQMS,Industrials,Waste Management,USA,296.93M,0.51,4.79,,,,,,,,
AQST,Healthcare,Biotechnology,USA,197.43M,0.45,5.67,,,,,,,,
ARAV,Healthcare,Biotechnology,USA,90.94M,0.38,5.8,,,,,,,,
ARAY,Healthcare,Medical Devices,USA,487.95M,0.3,5.11,,,,,,,,
ARBGU,Financial,Shell Companies,USA,-,0.19,10.65,,,,,,,,
ARCB,Industrials,Trucking,USA,1.24B,1.61,48.44,,,,,,,,
ARCC,Financial,Asset Management,USA,7.40B,0.29,17.5,,,,,,,,
ARCE,Consumer Defensive,Education & Training Services,Brazil,2.05B,1.81,35.95,,,,,,,,
ARCT,Healthcare,Biotechnology,USA,1.85B,9.88,67.7,,,,,,,,
ARDS,Healthcare,Biotechnology,USA,68.21M,0.4,6.89,,,,,,,,
ARDX,Healthcare,Biotechnology,USA,662.07M,0.32,7.22,,,,,,,,
AREC,Energy,Thermal Coal,USA,105.67M,0.27,2.78,,,,,,,,
ARGX,Healthcare,Biotechnology,Netherlands,14.65B,10.46,310.98,,,,,,,,
ARKO,Consumer Cyclical,Department Stores,USA,1.03B,0.42,8.13,,,,,,,,
ARKR,Consumer Cyclical,Restaurants,USA,68.57M,1.61,19.99,,,,,,,,
ARLP,Energy,Thermal Coal,USA,685.71M,0.28,5.23,,,,,,,,
ARNA,Healthcare,Biotechnology,USA,4.52B,2.9,77.68,,,,,,,,
AROW,Financial,Banks - Regional,USA,491.25M,0.87,31.35,,,,,,,,
ARPO,Healthcare,Biotechnology,USA,60.86M,0.1,1.27,,,,,,,,
ARQT,Healthcare,Biotechnology,USA,1.16B,1.85,26.81,,,,,,,,
ARRY,Technology,Solar,USA,6.84B,2.92,51.05,,,,,,,,
ARTL,Healthcare,Biotechnology,USA,17.98M,0.11,1.14,,,,,,,,
ARTNA,Utilities,Utilities - Regulated Water,USA,358.56M,0.87,38.39,,,,,,,,
ARTW,Industrials,Farm & Heavy Construction Machinery,USA,13.67M,0.16,3.03,,,,,,,,
ARVN,Healthcare,Biotechnology,USA,3.87B,6.48,84.09,,,,,,,,
ARWR,Healthcare,Biotechnology,USA,8.65B,3.65,82.07,,,,,,,,
ARYA,Financial,Shell Companies,USA,177.66M,0.34,11.5,,,,,,,,
ASLE,Industrials,Airports & Air Services,USA,612.90M,1.35,15,,,,,,,,
ASLN,Healthcare,Biotechnology,Singapore,68.83M,0.11,2.17,,,,,,,,
ASMB,Healthcare,Biotechnology,USA,197.04M,0.23,5.88,,,,,,,,
ASML,Technology,Semiconductor Equipment & Materials,Netherlands,246.29B,13.54,569.45,,,,,,,,
ASND,Healthcare,Biotechnology,Denmark,8.80B,6.84,160.66,,,,,,,,
ASO,Consumer Cyclical,Specialty Retail,USA,2.06B,1.22,22.46,,,,,,,,
ASPS,Financial,Mortgage Finance,Luxembourg,176.26M,0.64,11.17,,,,,,,,
ASPU,Consumer Defensive,Education & Training Services,USA,245.97M,0.53,9.91,,,,,,,,
ASRT,Healthcare,Drug Manufacturers - Specialty & Generic,USA,81.79M,0.07,0.71,,,,,,,,
ASRV,Financial,Banks - Regional,USA,57.45M,0.13,3.58,,,,,,,,
ASTC,Industrials,Aerospace & Defense,USA,50.62M,0.19,2.43,,,,,,,,
ASTE,Industrials,Farm & Heavy Construction Machinery,USA,1.52B,2.06,66.99,,,,,,,,
ASUR,Technology,Software - Application,USA,156.26M,0.3,8.25,,,,,,,,
ASYS,Technology,Semiconductor Equipment & Materials,USA,108.06M,0.32,7.61,,,,,,,,
ATAX,Financial,Mortgage Finance,USA,267.02M,0.14,4.44,,,,,,,,
ATCX,Industrials,Engineering & Construction,USA,345.51M,0.56,9.81,,,,,,,,
ATEC,Healthcare,Medical Devices,USA,1.19B,0.74,14.81,,,,,,,,
ATEX,Communication Services,Telecom Services,USA,704.34M,2.64,40.34,,,,,,,,
ATHA,Healthcare,Biotechnology,USA,657.57M,2.36,20.06,,,,,,,,
ATHE,Healthcare,Biotechnology,Australia,74.57M,0.11,1.9,,,,,,,,
ATHX,Healthcare,Biotechnology,USA,401.54M,0.14,1.94,,,,,,,,
ATIF,Financial,Capital Markets,USA,58.57M,0.16,1.13,,,,,,,,
ATLC,Financial,Credit Services,USA,419.66M,2.24,26.46,,,,,,,,
ATLO,Financial,Banks - Regional,USA,224.88M,0.89,24.47,,,,,,,,
ATNF,Healthcare,Biotechnology,USA,70.69M,0.38,3.88,,,,,,,,
ATNI,Communication Services,Telecom Services,USA,735.87M,2.21,45.82,,,,,,,,
ATNX,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.21B,0.62,12.38,,,,,,,,
ATOM,Technology,Semiconductor Equipment & Materials,USA,754.43M,3.24,32.93,,,,,,,,
ATOS,Healthcare,Biotechnology,USA,133.44M,0.17,1.87,,,,,,,,
ATRA,Healthcare,Biotechnology,USA,1.54B,1.09,18.44,,,,,,,,
ATRC,Healthcare,Medical Instruments & Supplies,USA,2.73B,2.26,59.07,,,,,,,,
ATRI,Healthcare,Medical Instruments & Supplies,USA,1.30B,25.26,736,,,,,,,,
ATRO,Industrials,Aerospace & Defense,USA,459.02M,0.65,14.67,,,,,,,,
ATRS,Healthcare,Medical Instruments & Supplies,USA,770.73M,0.19,4.56,,,,,,,,
ATSG,Industrials,Integrated Freight & Logistics,USA,1.65B,0.87,27.45,,,,,,,,
ATVI,Communication Services,Electronic Gaming & Multimedia,USA,72.42B,2,94.43,,,,,,,,
ATXI,Healthcare,Biotechnology,USA,106.49M,0.48,6.29,,,,,,,,
AUB,Financial,Banks - Regional,USA,2.96B,1.3,36.85,,,,,,,,
AUBN,Financial,Banks - Regional,USA,149.82M,1.06,41.85,,,,,,,,
AUDC,Technology,Communication Equipment,Israel,1.08B,1.1,32.81,,,,,,,,
AUPH,Healthcare,Biotechnology,Canada,1.88B,0.86,14.86,,,,,,,,
AUTL,Healthcare,Biotechnology,United Kingdom,454.02M,0.57,8.77,,,,,,,,
AUTO,Communication Services,Internet Content & Information,USA,46.83M,0.32,3.35,,,,,,,,
AUVI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,43.04M,0.35,5.23,,,,,,,,
AVAV,Industrials,Aerospace & Defense,USA,3.45B,6.67,133.25,,,,,,,,
AVCO,Healthcare,Medical Care Facilities,USA,105.45M,0.06,1.24,,,,,,,,
AVCT,Financial,Shell Companies,USA,172.52M,0.74,9.08,,,,,,,,
AVDL,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,389.41M,0.37,6.75,,,,,,,,
AVEO,Healthcare,Biotechnology,USA,242.55M,0.44,8.39,,,,,,,,
AVGO,Technology,Semiconductors,USA,191.77B,9.61,465.02,,,,,,,,
AVGR,Healthcare,Medical Devices,USA,136.64M,0.26,2.13,,,,,,,,
AVID,Communication Services,Electronic Gaming & Multimedia,USA,826.67M,0.82,18.35,,,,,,,,
AVIR,Healthcare,Biotechnology,USA,4.37B,3.74,54.27,,,,,,,,
AVNW,Technology,Communication Equipment,USA,202.83M,1.92,37.63,,,,,,,,
AVO,Consumer Defensive,Farm Products,USA,1.12B,0.63,16.2,,,,,,,,
AVRO,Healthcare,Biotechnology,USA,627.95M,0.84,14.59,,,,,,,,
AVT,Technology,Electronics & Computer Distribution,USA,3.88B,1.1,39.29,,,,,,,,
AVXL,Healthcare,Biotechnology,USA,416.15M,0.42,6.11,,,,,,,,
AWH,Healthcare,Diagnostics & Research,USA,650.45M,0.43,5.99,,,,,,,,
AWRE,Technology,Software - Application,USA,90.82M,0.2,4.28,,,,,,,,
AXAS,Energy,Oil & Gas E&P,USA,23.89M,0.21,2.69,,,,,,,,
AXDX,Healthcare,Diagnostics & Research,USA,476.31M,0.5,8.78,,,,,,,,
AXGN,Healthcare,Medical Devices,USA,787.73M,0.92,18.76,,,,,,,,
AXLA,Healthcare,Biotechnology,USA,226.84M,0.31,5.99,,,,,,,,
AXNX,Healthcare,Medical Devices,USA,2.30B,2.6,56.55,,,,,,,,
AXSM,Healthcare,Biotechnology,USA,2.90B,2.96,74.65,,,,,,,,
AXTI,Technology,Semiconductor Equipment & Materials,USA,525.48M,0.71,11.94,,,,,,,,
AY,Utilities,Utilities - Renewable,United Kingdom,5.05B,1.77,46.19,,,,,,,,
AYLA,Healthcare,Biotechnology,Israel,159.51M,1,13.15,,,,,,,,
AYRO,Consumer Cyclical,Auto Manufacturers,USA,199.38M,0.59,6.93,,,,,,,,
AYTU,Healthcare,Biotechnology,USA,137.63M,0.43,8.03,,,,,,,,
AZN,Healthcare,Drug Manufacturers - General,United Kingdom,140.35B,0.96,53.25,,,,,,,,
AZPN,Technology,Software - Application,USA,9.62B,3.92,142.38,,,,,,,,
AZRX,Healthcare,Biotechnology,USA,58.16M,0.22,1.84,,,,,,,,
AZYO,Healthcare,Medical Devices,USA,162.95M,1.02,15.3,,,,,,,,
BAND,Technology,Software - Infrastructure,USA,4.08B,7.58,169.23,,,,,,,,
BANF,Financial,Banks - Regional,USA,2.13B,2.18,64.53,,,,,,,,
BANR,Financial,Banks - Regional,USA,1.86B,1.67,51.83,,,,,,,,
BANX,Financial,Asset Management,USA,131.05M,0.38,19.96,,,,,,,,
BASI,Healthcare,Diagnostics & Research,USA,160.09M,0.92,14.66,,,,,,,,
BATRA,Communication Services,Entertainment,USA,24.38B,0.87,26.1,,,,,,,,
