Symbol,Name,% Holding,openhigh_mean,openhigh_std,openhigh_range,openlow_mean,openlow_std,openlow_range,range_mean,range_std,range_range
DHR,Danaher Corp,0.54%,3.867,1.328,2.69-6.56,6.118,4.416,2.89-14.65,6.295,3.088,4.09-15.155
COST,Costco Wholesale,0.53%,4.252,1.671,2.02-6.72,4.449,1.794,2.51-8.86,5.569,1.612,3.05-10.035
WFC,Wells Fargo & Company,0.53%,0.932,0.228,0.63-1.255,1.352,0.991,0.48-3.2,1.342,0.832,0.68-3.78
MRK,Merck & Company,0.52%,0.711,0.214,0.54-1.075,0.931,0.337,0.56-1.57,1.05,0.294,0.63-1.69
AVGO,Broadcom Ltd,0.52%,7.993,1.735,5.11-10.49,6.503,2.473,3.385-10.14,8.564,1.97,5.82-11.78
T,AT&T Inc,0.52%,0.36,0.162,0.18-0.69,0.257,0.094,0.105-0.39,0.356,0.119,0.185-0.71
CVX,Chevron Corp,0.50%,1.403,0.301,0.925-1.745,1.399,0.49,0.91-2.4,1.71,0.428,1.05-2.76
MDT,Medtronic Inc,0.47%,1.16,0.527,0.47-1.75,1.508,0.922,0.66-3.39,1.885,0.774,0.93-3.43
MCD,McDonald's Corp,0.47%,2.014,0.736,1.16-3.01,1.739,0.729,0.82-2.85,2.522,0.636,1.57-3.66
TXN,Texas Instruments,0.46%,2.034,1.056,0.86-4.095,1.824,0.887,0.85-3.605,2.57,0.81,1.38-4.105
NEE,Nextera Energy,0.43%,0.999,0.481,0.4-1.85,0.907,0.416,0.44-1.505,1.153,0.416,0.52-2.18
QCOM,Qualcomm Inc,0.43%,1.873,0.754,1.07-3.12,2.406,0.739,1.555-3.85,2.579,0.724,1.64-4.19
LIN,Linde Plc,0.43%,1.853,0.437,1.243-2.58,2.744,1.154,0.98-4.63,3.347,1.101,1.69-5.47
ORCL,Oracle Corp,0.42%,1.007,0.429,0.37-1.81,1.314,0.405,0.76-1.89,1.414,0.555,0.681-2.28
HON,Honeywell International Inc,0.42%,1.912,0.376,1.22-2.28,2.746,1.436,0.95-5.03,3.032,0.957,1.67-5.16
PM,Philip Morris International Inc,0.41%,1.269,0.511,0.595-1.94,1.192,0.687,0.46-2.63,1.561,0.557,0.83-2.93
MS,Morgan Stanley,0.40%,1.268,0.386,0.675-1.88,1.241,0.631,0.65-2.69,1.724,0.612,1.15-3.74
BMY,Bristol-Myers Squibb Company,0.40%,0.618,0.117,0.485-0.77,0.829,0.379,0.475-1.85,0.959,0.314,0.625-1.85
INTU,Intuit Inc,0.40%,7.455,2.31,4.33-11.33,7.222,4.783,3.601-18.932,8.719,3.969,3.86-20.212
C,Citigroup Inc,0.39%,0.968,0.477,0.54-2.05,1.403,0.455,0.97-2.32,1.465,0.52,0.9-2.86
UNP,Union Pacific Corp,0.39%,1.907,0.55,1.22-2.62,3.463,1.372,1.5-5.7,3.471,1.285,1.42-6.14
LOW,Lowe's Companies,0.38%,1.929,0.433,1.52-2.86,2.822,0.446,1.98-3.56,3.086,0.734,2.227-4.73
UPS,United Parcel Service,0.37%,2.215,0.579,1.56-3.213,2.483,1.335,0.8-5.18,3.053,1.303,1.41-6.31
GS,Goldman Sachs Group,0.37%,4.728,1.327,2.95-7.04,4.633,1.756,2.47-7.52,6.913,2.413,4.52-14.23
SBUX,Starbucks Corp,0.36%,1.406,0.624,0.63-2.21,1.738,0.888,0.98-3.84,1.821,0.722,1.055-3.9
BLK,Blackrock Inc,0.35%,11.313,3.847,5.45-16.25,12.103,3.747,7.693-18.76,13.942,3.313,8.4-19.635
AMD,Adv Micro Devices,0.34%,2.009,1.026,0.765-3.77,2.022,0.593,1.31-3.3,2.514,0.685,1.455-3.98
RTX,Raytheon Technologies Corp,0.34%,1.062,0.432,0.65-1.88,1.129,0.227,0.83-1.54,1.32,0.362,0.82-2.23
AMT,American Tower Corp,0.34%,3.979,1.48,2.5-6.27,4.119,1.573,2.37-6.43,5.158,1.437,2.98-7.095
AMGN,Amgen Inc,0.34%,2.82,0.357,2.17-3.15,2.621,1.219,1.23-5.09,3.537,1.128,1.9-5.42
IBM,International Business Machines,0.33%,1.118,0.285,0.79-1.58,1.383,0.778,0.685-3.06,1.68,0.63,0.88-3.23
TGT,Target Corp,0.33%,2.605,0.476,2.17-3.4,2.509,0.907,1.19-3.9,3.07,0.752,1.81-4.646
ISRG,Intuitive Surg Inc,0.33%,12.147,3.644,9.01-18.78,19.351,17.224,8.88-67.23,20.391,13.695,11.59-69.045
NOW,Servicenow Inc,0.32%,10.241,4.291,6.545-21.1,10.837,5.486,5.44-18.425,11.986,4.621,7.37-22.05
BA,Boeing Company,0.32%,4.376,0.945,2.56-5.46,3.954,1.278,1.93-5.5,5.158,0.89,3.72-6.99
MRNA,Moderna Inc,0.32%,17.652,8.208,8.77-29.49,20.646,7.405,14.08-32.88,21.829,7.068,12.285-33.81
AMAT,Applied Materials,0.32%,2.779,0.938,1.04-4.25,2.719,0.876,1.22-4.38,3.326,0.735,2.07-4.38
CAT,Caterpillar Inc,0.31%,2.423,1.302,1.015-4.42,3.149,0.9,2.195-4.4,3.368,0.896,1.819-4.72
DE,Deere & Company,0.30%,6.081,1.907,2.81-8.27,8.008,3.098,4.25-15.2,8.506,2.817,4.78-16.93
GE,General Electric Company,0.30%,2.076,0.395,1.42-2.56,2.254,0.893,1.53-4.467,2.604,0.856,1.66-4.477
MMM,3M Company,0.30%,1.851,0.72,0.85-2.76,3.051,1.908,1.61-7.36,3.131,1.854,1.45-9.01
SCHW,The Charles Schwab Corp,0.29%,1.681,0.521,0.925-2.18,1.423,0.624,0.771-2.65,1.816,0.566,1.041-3.06
CVS,CVS Corp,0.29%,1.274,0.653,0.46-2.12,1.489,0.573,0.71-2.44,1.562,0.55,0.74-2.45
CHTR,Charter Communicatio,0.29%,8.704,2.752,5.275-12.69,11.982,12.24,3.94-40.18,13.773,9.341,5.682-44.08
SPGI,S&P Global Inc,0.28%,4.613,1.18,2.2-5.83,5.592,2.405,2.91-10.0,6.901,2.178,3.75-12.76
AXP,American Express Company,0.28%,2.395,0.813,1.16-3.54,2.914,0.843,1.59-3.95,3.306,1.225,2.05-7.05
ZTS,Zoetis Inc Cl A,0.26%,1.916,0.59,1.14-3.17,3.3,1.656,1.44-6.34,3.247,1.196,1.51-6.78
PLD,Prologis Inc,0.25%,1.927,0.79,0.9-3.07,1.727,0.631,0.89-2.915,2.3,0.646,1.01-3.49
ANTM,Anthem Inc,0.24%,9.463,3.452,4.4-13.09,7.509,4.52,3.42-18.197,8.969,4.234,3.67-18.377
BKNG,Booking Holdings Inc,0.24%,33.029,9.133,20.51-49.3,36.555,8.321,28.37-48.95,43.316,9.129,31.945-62.78
TJX,TJX Companies,0.24%,0.603,0.108,0.46-0.72,0.964,0.361,0.46-1.82,1.157,0.258,0.86-1.82
GILD,Gilead Sciences Inc,0.24%,0.988,0.389,0.64-1.875,0.78,0.261,0.41-1.25,1.112,0.32,0.62-2.065
MO,Altria Group,0.24%,0.546,0.217,0.29-0.91,0.572,0.198,0.34-0.85,0.687,0.177,0.42-1.01
ADP,Automatic Data Procs,0.23%,2.057,0.61,1.56-3.43,2.96,1.216,1.56-5.3,2.944,1.155,1.75-5.47
SYK,Stryker Corp,0.23%,3.056,1.225,1.69-5.76,3.858,1.208,1.99-5.76,4.174,1.349,2.506-7.46
LMT,Lockheed Martin Corp,0.23%,2.209,0.62,1.45-3.19,3.609,1.511,1.76-5.65,3.917,1.281,2.2-6.53
MDLZ,Mondelez Intl Inc,0.23%,0.617,0.179,0.37-0.85,0.617,0.337,0.295-1.45,0.76,0.296,0.38-1.62
LRCX,Lam Research Corp,0.22%,12.447,5.174,4.88-23.94,10.882,3.12,5.53-15.6,14.84,3.788,8.699-24.03
TMUS,T-Mobile US,0.22%,1.561,0.691,0.765-2.55,2.472,0.83,0.93-3.24,2.555,0.833,1.07-3.51
CB,Chubb Ltd,0.22%,1.78,0.338,1.45-2.57,2.42,0.511,1.49-2.88,2.644,0.599,1.49-4.0
CCI,Crown Castle International Corp,0.22%,2.143,0.841,1.18-3.27,2.595,1.184,1.05-4.64,3.127,0.893,1.92-4.64
MU,Micron Technology,0.21%,1.246,0.496,0.6-1.855,1.381,0.387,0.92-2.09,1.74,0.436,1.12-2.62
DUK,Duke Energy Corp,0.21%,1.203,0.598,0.66-2.38,1.179,0.592,0.56-2.34,1.471,0.637,0.765-2.94
FIS,Fidelity National Information Services,0.21%,2.065,1.11,0.98-4.34,2.249,1.039,0.85-4.07,2.71,1.013,1.13-4.73
PNC,PNC Bank,0.21%,2.672,0.82,1.34-3.892,3.533,2.549,1.11-9.0,3.645,1.918,1.82-10.04
MMC,Marsh & Mclennan Companies,0.21%,1.432,0.62,0.83-3.1,2.102,0.874,1.1-3.47,1.944,0.71,1.24-3.52
EL,Estee Lauder Companies,0.21%,3.445,1.58,1.4-5.62,4.789,2.317,1.9-9.445,5.248,2.047,2.039-9.665
USB,U.S. Bancorp,0.20%,0.891,0.403,0.51-1.74,0.961,0.359,0.48-1.505,1.114,0.346,0.73-1.83
COF,Capital One Financial Corp,0.20%,3.186,0.82,2.14-4.339,4.116,1.607,1.51-7.03,4.357,1.497,2.42-8.46
TFC,Truist Financial Corp,0.20%,0.86,0.207,0.61-1.21,0.994,0.474,0.52-1.875,1.134,0.354,0.71-2.165
CSX,CSX Corp,0.20%,0.277,0.039,0.24-0.33,0.449,0.147,0.19-0.76,0.53,0.149,0.27-0.884
COP,Conocophillips,0.20%,1.137,0.436,0.58-1.72,1.096,0.273,0.795-1.61,1.369,0.265,0.96-1.77
ADSK,Autodesk Inc,0.20%,5.403,1.574,3.19-6.72,7.325,4.922,3.59-21.15,9.147,4.701,4.33-21.49
EW,Edwards Lifesciences Corp,0.19%,1.474,0.41,0.94-2.09,1.657,0.938,0.7-3.73,2.037,0.741,1.02-3.945
EQIX,Equinix Inc,0.19%,19.595,6.986,8.48-31.95,14.374,5.568,6.63-25.4,19.718,5.693,9.15-31.95
CI,Cigna Corp,0.19%,5.055,2.339,2.29-8.03,4.397,1.304,2.63-6.55,5.32,1.779,2.917-8.03
SHW,Sherwin-Williams Company,0.19%,3.588,1.626,1.41-6.815,3.617,0.76,2.39-4.58,4.445,1.384,2.34-8.065
CME,CME Group Inc,0.19%,1.502,0.482,0.99-2.23,2.69,0.647,1.9-3.72,2.785,0.782,1.6-4.11
BDX,Becton Dickinson and Company,0.19%,2.698,1.297,1.794-6.26,2.607,0.898,1.23-3.72,3.544,1.099,2.29-6.61
FISV,Fiserv Inc,0.19%,1.268,0.707,0.69-2.44,2.416,1.358,1.04-5.096,2.351,1.17,0.98-5.096
REGN,Regeneron Pharmaceuticals,0.19%,11.325,1.729,9.14-14.68,13.257,6.49,6.77-25.09,15.172,4.814,10.33-28.23
ILMN,Illumina Inc,0.18%,6.049,3.322,2.62-13.79,11.47,3.964,6.08-18.84,10.769,4.109,4.979-20.56
SO,Southern Company,0.18%,0.567,0.32,0.28-1.24,0.602,0.216,0.21-0.93,0.759,0.288,0.34-1.45
ETN,Eaton Corp,0.18%,2.647,1.62,0.83-5.13,2.182,1.056,0.975-4.89,2.749,1.293,1.38-5.81
ITW,Illinois Tool Works Inc,0.17%,2.35,0.884,1.59-3.79,2.647,1.183,1.04-5.46,3.089,1.1,1.38-6.0
ICE,Intercontinental Exchange,0.17%,1.03,0.326,0.39-1.38,1.242,0.836,0.34-2.61,1.512,0.701,0.638-3.277
CL,Colgate-Palmolive Company,0.17%,0.694,0.295,0.31-1.25,0.597,0.262,0.24-1.07,0.766,0.235,0.47-1.26
HCA,Hca Holdings Inc,0.17%,3.437,1.972,1.46-7.55,3.17,0.857,1.95-4.35,4.452,1.613,1.9-7.85
FDX,Fedex Corp,0.17%,2.643,0.65,1.79-3.595,3.739,1.681,1.38-7.5,4.133,1.475,2.25-8.25
NSC,Norfolk Southern Corp,0.17%,2.577,0.866,1.82-4.05,3.698,1.408,1.84-6.72,4.078,1.313,2.36-6.895
BSX,Boston Scientific Corp,0.17%,0.507,0.124,0.375-0.77,0.572,0.335,0.19-1.16,0.77,0.249,0.37-1.31
GM,General Motors Company,0.17%,0.94,0.416,0.35-1.73,0.783,0.276,0.38-1.15,1.058,0.31,0.575-1.73
ATVI,Activision Blizzard,0.17%,1.452,0.642,0.7-2.682,1.743,0.815,0.73-3.515,1.95,0.78,0.87-3.53
D,Dominion Resources,0.17%,0.875,0.446,0.41-1.72,1.063,0.448,0.53-1.645,1.185,0.412,0.53-2.0
AON,AON Plc,0.17%,3.469,1.08,2.03-5.405,2.712,0.844,1.32-4.2,3.965,1.039,2.4-5.55
EMR,Emerson Electric Company,0.16%,0.971,0.525,0.41-1.885,1.683,0.851,0.7-3.405,1.705,0.818,0.54-3.405
ADI,Analog Devices,0.16%,2.499,1.697,1.08-6.84,2.496,1.317,0.908-4.81,3.137,1.487,1.595-6.86
MCO,Moody's Corp,0.16%,3.011,1.045,2.06-5.25,4.917,3.112,2.03-10.72,5.255,2.406,3.19-12.45
APD,Air Products and Chemicals,0.16%,2.15,0.255,1.77-2.57,1.902,0.618,1.14-3.08,2.957,0.74,1.67-4.75
NXPI,Nxp Semiconductors,0.16%,3.668,1.416,2.07-6.12,4.2,3.09,2.04-12.42,4.687,2.582,2.12-12.42
WM,Waste Management,0.16%,1.314,0.468,0.7-1.9,1.091,0.453,0.54-1.995,1.614,0.535,0.87-2.549
IDXX,Idexx Laboratories,0.15%,10.522,5.139,6.27-22.84,18.816,10.71,6.895-40.56,16.928,7.864,9.97-40.56
PGR,Progressive Corp,0.15%,0.768,0.229,0.48-1.1,0.984,0.365,0.41-1.6,1.28,0.309,0.69-1.77
ECL,Ecolab Inc,0.15%,2.147,0.669,1.5-3.16,2.357,1.282,1.1-5.44,2.917,1.012,1.48-5.44
DG,Dollar General Corp,0.14%,3.129,1.691,1.7-6.84,3.069,0.577,2.23-3.86,4.067,2.373,2.81-12.47
NOC,Northrop Grumman Corp,0.14%,4.35,0.684,3.4-5.19,4.213,1.223,2.33-5.98,5.106,1.442,2.84-7.79
CMG,Chipotle Mexican Grill,0.14%,19.808,5.923,12.54-27.46,25.28,9.601,13.09-48.71,28.243,9.587,13.09-50.76
JCI,Johnson Controls Intl,0.14%,1.218,0.791,0.43-2.445,0.964,0.483,0.405-1.775,1.326,0.604,0.6-2.575
HUM,Humana Inc,0.14%,6.051,2.806,3.02-11.27,8.368,5.349,4.08-19.62,8.264,3.861,3.91-19.62
BIIB,Biogen Inc,0.14%,3.907,1.289,2.855-6.392,9.238,6.75,3.73-26.78,8.714,5.581,4.74-27.27
A,Agilent Technologies,0.14%,1.852,0.791,0.704-3.26,3.108,2.203,1.29-7.44,2.866,1.461,1.366-7.78
VRTX,Vertex Pharmaceutic,0.14%,2.597,1.032,1.65-4.62,2.724,1.083,1.37-4.55,3.688,1.488,2.15-6.92
ALGN,Align Technology,0.14%,10.686,3.904,6.69-18.11,15.87,6.557,7.74-30.91,16.738,5.81,10.395-30.91
FCX,Freeport-Mcmoran Inc,0.13%,0.983,0.553,0.41-1.96,0.989,0.415,0.51-1.76,1.126,0.428,0.61-1.96
F,Ford Motor Company,0.13%,0.244,0.115,0.115-0.48,0.215,0.076,0.12-0.32,0.302,0.087,0.18-0.5
TWTR,Twitter Inc,0.13%,1.181,0.535,0.63-2.07,1.634,0.87,0.56-2.91,1.716,0.701,0.94-3.282
MSCI,MSCI Inc,0.13%,9.839,2.529,6.59-14.13,9.103,5.465,5.22-20.92,12.218,4.229,7.765-20.996
KLAC,K L A-Tencor Corp,0.13%,9.111,2.276,6.4-12.97,5.66,2.176,2.5-9.945,8.296,2.851,4.3-13.49
ROP,Roper Industries,0.13%,5.539,2.072,2.76-8.68,5.71,2.986,2.27-10.82,7.086,2.297,3.29-10.82
TEL,Te Connectivity Ltd,0.13%,1.613,0.343,1.225-2.06,1.568,0.696,0.6-3.1,1.912,0.613,1.135-3.25
DXCM,Dexcom,0.13%,9.838,3.504,5.36-17.07,11.04,1.79,9.25-12.83,13.942,3.618,9.25-20.59
SNPS,Synopsys Inc,0.13%,3.643,1.134,2.832-6.46,4.251,1.462,2.18-6.97,4.831,1.498,2.832-9.005
TROW,T Rowe Price Group,0.13%,3.09,0.761,2.29-3.89,3.03,1.145,1.15-5.02,3.794,0.997,2.18-5.26
GPN,Global Payments Inc,0.13%,4.0,2.657,1.76-9.8,3.831,2.028,1.52-8.4,4.641,2.26,2.63-10.0
IQV,Iqvia Holdings Inc,0.13%,2.602,0.787,1.68-4.19,3.903,2.299,2.16-8.97,4.087,1.725,2.25-9.365
PSA,Public Storage,0.13%,4.306,1.807,1.84-7.08,4.553,1.862,1.92-7.15,5.457,1.662,3.04-7.94
LHX,L3Harris Technologies Inc,0.13%,2.104,0.578,1.46-3.43,3.511,1.899,2.19-7.805,3.153,1.523,1.92-8.225
EXC,Exelon Corp,0.13%,0.589,0.21,0.37-1.115,0.443,0.179,0.305-0.77,0.685,0.23,0.315-1.294
DOW,Dow Inc,0.12%,0.902,0.362,0.59-1.65,1.038,0.371,0.34-1.718,1.235,0.298,0.66-1.778
EBAY,Ebay Inc,0.12%,1.431,0.815,0.64-3.13,1.295,0.301,0.89-1.76,1.584,0.563,0.97-3.13
AIG,American International Group,0.12%,0.712,0.184,0.51-0.985,0.789,0.259,0.48-1.09,0.931,0.179,0.605-1.185
TT,Trane Technologies Plc,0.12%,2.558,1.703,1.09-5.39,2.904,1.404,1.4-5.04,3.47,1.571,1.98-6.61
CARR,Carrier Global Corp,0.12%,0.755,0.109,0.585-0.87,0.901,0.444,0.43-1.76,1.037,0.315,0.61-1.9
NEM,Newmont Mining Corp,0.12%,0.813,0.378,0.36-1.56,0.654,0.285,0.32-1.15,0.951,0.339,0.55-1.9
MET,Metlife Inc,0.12%,0.801,0.367,0.35-1.34,0.999,0.376,0.365-1.66,1.107,0.282,0.67-1.728
KMB,Kimberly-Clark Corp,0.12%,1.325,0.687,0.66-2.36,1.517,0.454,0.83-2.36,1.707,0.536,0.87-2.79
GD,General Dynamics Corp,0.12%,1.881,0.683,0.899-2.85,2.597,1.594,0.755-4.9,2.678,1.211,1.265-5.44
DLR,Digital Realty Trust,0.12%,1.819,0.702,0.85-2.61,2.152,0.619,1.3-2.95,2.738,0.638,1.51-3.76
APH,Amphenol Corp,0.12%,0.725,0.23,0.435-1.07,0.683,0.222,0.37-0.94,0.842,0.184,0.525-1.1
INFO,IHS Markit Ltd,0.12%,1.434,0.401,0.84-2.031,1.363,0.476,0.77-2.22,1.999,0.803,1.1-4.43
AEP,American Electric Power Company,0.12%,0.733,0.49,0.338-2.06,1.417,0.453,0.56-1.87,1.175,0.526,0.55-2.27
CDNS,Cadence Design Sys,0.12%,1.808,0.78,0.705-3.08,2.917,1.636,1.7-5.68,2.646,1.143,1.365-5.93
ROST,Ross Stores Inc,0.12%,1.303,0.303,1.06-1.73,1.608,1.042,0.55-4.35,1.926,0.806,1.01-4.45
BK,Bank of New York Mellon Corp,0.12%,0.777,0.276,0.32-1.01,0.87,0.411,0.41-1.45,0.99,0.352,0.48-1.62
SPG,Simon Property Group,0.11%,1.994,0.458,1.28-2.54,2.157,0.606,1.71-3.38,2.612,0.573,1.91-3.52
APTV,Aptiv Plc,0.11%,2.336,1.176,1.5-4.63,2.863,0.969,1.76-4.39,3.118,1.242,1.77-5.3
ORLY,O'Reilly Automotive,0.11%,6.596,2.821,3.44-12.575,8.717,4.981,3.53-18.88,9.799,4.264,4.99-21.62
PRU,Prudential Financial Inc,0.11%,1.404,0.307,0.97-1.79,1.427,0.629,0.57-2.69,1.725,0.437,0.97-2.86
CTSH,Cognizant Tech Sol,0.11%,0.58,0.218,0.34-1.0,0.82,0.251,0.56-1.23,0.929,0.237,0.62-1.47
SRE,Sempra,0.11%,1.452,0.613,0.72-2.73,1.012,0.282,0.62-1.34,1.729,0.735,0.82-3.665
RMD,Resmed Inc,0.11%,4.427,0.829,2.89-5.5,4.012,2.15,2.26-9.295,5.104,1.774,2.93-10.125
ALL,Allstate Corp,0.11%,1.408,0.337,0.84-1.76,1.682,0.486,0.92-2.36,2.042,0.442,1.22-2.61
EA,Electronic Arts Inc,0.11%,2.432,1.289,0.91-5.07,2.406,1.634,0.91-6.26,3.143,1.408,1.625-6.4
FTNT,Fortinet Inc,0.11%,5.941,1.624,3.36-7.92,8.215,4.49,3.045-16.292,8.064,3.489,3.9-17.172
MCHP,Microchip Technology,0.11%,2.821,1.414,0.96-5.2,2.651,0.785,1.75-4.07,3.21,1.093,1.45-5.85
TRV,The Travelers Companies Inc,0.11%,2.016,0.258,1.61-2.41,1.936,0.776,0.83-3.3,2.402,0.496,1.54-3.43
MSI,Motorola Solutions,0.11%,2.078,0.799,1.6-3.86,2.485,0.815,0.93-3.51,2.884,0.919,1.74-5.3
YUM,Yum! Brands,0.11%,1.064,0.326,0.74-1.64,1.426,0.578,0.73-2.47,1.692,0.537,0.919-2.7
SYY,Sysco Corp,0.11%,1.47,0.545,0.84-2.17,1.115,0.476,0.54-1.98,1.454,0.486,0.84-2.55
EOG,Eog Resources,0.11%,2.065,1.081,0.85-4.31,1.353,0.299,0.8-1.666,2.034,0.763,1.33-4.47
DD,Du Pont De.Nemours Inc,0.10%,0.883,0.324,0.532-1.405,1.273,0.671,0.53-2.6,1.273,0.522,0.8-2.63
DFS,Discover Financial Services,0.10%,2.507,0.974,1.41-4.17,3.149,1.535,1.68-6.55,3.432,1.232,2.31-6.55
SLB,Schlumberger N.V.,0.10%,0.641,0.258,0.325-1.1,0.895,0.291,0.56-1.36,0.86,0.276,0.55-1.53
PPG,PPG Industries,0.10%,2.852,1.985,0.97-6.69,2.517,0.654,1.2-3.3,3.018,1.341,1.36-6.69
PH,Parker-Hannifin Corp,0.10%,3.286,0.965,1.905-4.48,5.263,1.147,3.38-6.79,5.49,1.197,3.555-7.65
SBAC,SBA Communications,0.10%,4.662,1.649,2.63-7.58,5.684,2.499,2.52-9.53,6.731,1.827,3.95-9.97
BAX,Baxter International Inc,0.10%,1.677,0.601,0.74-2.46,1.026,0.579,0.3-1.896,1.701,0.677,0.59-2.78
IFF,International Flavors & Fragrances,0.10%,1.377,0.364,0.942-1.95,1.991,1.151,0.91-4.45,2.327,0.899,1.32-4.57
XLNX,Xilinx Inc,0.10%,3.032,1.147,1.63-5.08,2.868,0.932,1.75-5.08,3.661,1.038,1.81-5.19
CNC,Centene Corp,0.10%,1.705,1.301,0.3-4.24,1.231,0.688,0.43-2.52,1.624,0.978,0.49-4.38
MPC,Marathon Petroleum Corp,0.10%,1.245,0.323,0.77-1.737,1.602,0.434,0.73-2.08,1.559,0.421,0.88-2.39
